recordType,formTypeCd,schedFormTypeCd,reportInfoIdent,receivedDt,infoOnlyFlag,filerIdent,filerTypeCd,filerName,expendInfoId,expendDt,expendAmount,expendDescr,expendCatCd,expendCatDescr,itemizeFlag,travelFlag,politicalExpendCd,reimburseIntendedFlag,srcCorpContribFlag,capitalLivingexpFlag,payeePersentTypeCd,payeeNameOrganization,payeeNameLast,payeeNameSuffixCd,payeeNameFirst,payeeNamePrefixCd,payeeNameShort,payeeStreetAddr1,payeeStreetAddr2,payeeStreetCity,payeeStreetStateCd,payeeStreetCountyCd,payeeStreetCountryCd,payeeStreetPostalCode,payeeStreetRegion,creditCardIssuer,repaymentDt
EXPN,CORCOH,F1,333857,20070201,N,00026690,JCOH,"Fowler, Wanda",101000001,20060726,104.00,"Payment for self chambers lawyer briefing attorney and intern to attend CLE luncheon.",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Houston Bar Association Appellate Section",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,333857,20070201,N,00026690,JCOH,"Fowler, Wanda",101000002,20060727,94.48,"Farewell/thank you lunch for first-half summer intern with briefing attorney and chambers lawyer",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Baba Yega",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,333857,20070201,N,00026690,JCOH,"Fowler, Wanda",101000003,20060822,74.51,"Thank you lunch for attorneys in charge of interns.",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,Aries,,,,,,,,,,,,,,,
EXPN,CORCOH,F1,333857,20070201,N,00026690,JCOH,"Fowler, Wanda",101000004,20060905,510.00,"Registration Fee for Appellate Judges Conference",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Appellate Judges Educational Institute",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,333857,20070201,N,00026690,JCOH,"Fowler, Wanda",101000005,20061120,273.03,"Payment of bill for phone and fax line",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"AT&T",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,333857,20070201,N,00026690,JCOH,"Fowler, Wanda",101000006,20060710,56.63,"Introductory lunch with new intern and Briefing Attorney",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Julia's Bistro",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,316742,20060728,N,00026690,JCOH,"Fowler, Wanda (Mrs.)",101000007,20060125,27.00,"Continuing Legal Education Luncheon for Self",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Houston Bar Association Appellate Section",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,316742,20060728,N,00026690,JCOH,"Fowler, Wanda (Mrs.)",101000008,20060413,32.30,"Private Phone  Line",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,SBC,,,,,,,,,,,,,,,
EXPN,CORCOH,F1,316742,20060728,N,00026690,JCOH,"Fowler, Wanda (Mrs.)",101000009,20060222,77.00,"Continuing Legal Education Luncheon for Self Chambers Lawyer and Briefing Attorney",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Houston Bar Association Appellate Section",,,,,,,,,,,,,,,
EXPN,CORCOH,F1,316742,20060728,N,00026690,JCOH,"Fowler, Wanda (Mrs.)",101000010,20060531,104.00,"Continuing Legal Education Luncheon for Self Chambers Lawyer Briefing Attorney and Intern",UNKNOWN,,Y,N,Y,N,N,N,ENTITY,"Houston Bar Association Appellate Section",,,,,,,,,,,,,,,
